"Story","Title","Result","Date","Stability","Duration (s)"
"Categories CRUD test with steps","Getting All Categories Info","SUCCESS","2022-06-07T21:11:25.338+01:00[Europe/London]","0.0","7.2"
"Product CURD test","Getting All The Products","SUCCESS","2022-06-07T21:11:25.338+01:00[Europe/London]","0.0","6.75"
"Stores CRUD test with steps","Getting All The Store","SUCCESS","2022-06-07T21:11:25.338+01:00[Europe/London]","0.0","7.43"
"Product CURD test","Create Product","SUCCESS","2022-06-07T21:11:32.238+01:00[Europe/London]","0.0","1.49"
"Product CURD test","Verify if Product is updated","SUCCESS","2022-06-07T21:11:33.727+01:00[Europe/London]","0.0","0.11"
"Product CURD test","This will delete and verify if product is deleted","SUCCESS","2022-06-07T21:11:33.841+01:00[Europe/London]","0.0","0.22"
"Services CRUD test with steps","Getting All The Services","SUCCESS","2022-06-07T21:11:35.637+01:00[Europe/London]","0.0","0.09"
"Utilities CRUD test with steps","Getting the Version","SUCCESS","2022-06-07T21:11:36.024+01:00[Europe/London]","0.0","0.06"
"Utilities CRUD test with steps","Getting the HealthCheck","SUCCESS","2022-06-07T21:11:36.087+01:00[Europe/London]","0.0","0.15"
